Date,Team_H,Score_H,Score_A,Team_A,Location,Season
13 February,New South Wales Swifts,60,40,Adelaide Thunderbirds,Sydney Olympic Park Sports Centre,2011.0
Mon 14 February,Northern Mystics,51,34,Southern Steel,Trusts Stadium,2011.0
Sat 19 February,Central Pulse,44,54,Northern Mystics,Te Rauparaha Arena,2011.0
Sun 20 February,Adelaide Thunderbirds,47,65,Melbourne Vixens,ETSA Park,2011.0
Sun 20 February,Waikato Bay of Plenty Magic,51,36,Southern Steel,Energy Events Centre,2011.0
Mon 21 February,Canterbury Tactix,48,54,West Coast Fever,CBS Canterbury Arena,2011.0
Mon 21 February,Queensland Firebirds,51,48,New South Wales Swifts,Brisbane Convention and Exhibition Centre,2011.0
Thu 24 February,Northern Mystics,39,45,Waikato Bay of Plenty Magic,Trusts Stadium,2011.0
Thu 24 February,West Coast Fever,53,72,Adelaide Thunderbirds,Challenge Stadium,2011.0
Sat 26 February,Central Pulse,43,45,Southern Steel,Te Rauparaha Arena,2011.0
Sat 26 February,Queensland Firebirds,64,41,Adelaide Thunderbirds,Brisbane Convention and Exhibition Centre,2011.0
Sun 27 February,New South Wales Swifts,60,40,Adelaide Thunderbirds,Sydney Olympic Park Sports Centre,2011.0
Mon 28 February,Central Pulse,44,46,Waikato Bay of Plenty Magic,TSB Bank Arena,2011.0
Mon 28 February,West Coast Fever,38,62,Queensland Firebirds,Challenge Stadium,2011.0
Sat 5 March,Adelaide Thunderbirds,51,41,Central Pulse,ETSA Park,2011.0
Sun 6 March,Queensland Firebirds,51,36,Southern Steel,Brisbane Convention and Exhibition Centre,2011.0
Sun 6 March,Northern Mystics,56,54,Melbourne Vixens,Trusts Stadium,2011.0
Mon 7 March,Canterbury Tactix,56,63,Waikato Bay of Plenty Magic,Energy Events Centre (Note 6),2011.0
Mon 7 March,New South Wales Swifts,55,51,West Coast Fever,Sydney Olympic Park Sports Centre,2011.0
Sat 12 March,Melbourne Vixens,70,39,West Coast Fever,State Netball and Hockey Centre,2011.0
Sun 13 March,Adelaide Thunderbirds,42,64,Queensland Firebirds,ETSA Park,2011.0
Sun 13 March,Waikato Bay of Plenty Magic,46,47,Northern Mystics,Mystery Creek Events Centre,2011.0
Mon 14 March,Southern Steel,50,44,Central Pulse,Invercargill ILT Velodrome,2011.0
Mon 14 March,New South Wales Swifts,54,45,Canterbury Tactix,Sydney Olympic Park Sports Centre,2011.0
Thu 17 March,West Coast Fever,49,70,New South Wales Swifts,Challenge Stadium,2011.0
Sat 19 March,West Coast Fever,50,47,Southern Steel,Challenge Stadium,2011.0
Sun 20 March,New South Wales Swifts,53,57,Queensland Firebirds,Sydney Olympic Park Sports Centre,2011.0
Sun 20 March,Central Pulse,46,43,Canterbury Tactix,Arena Manawatu,2011.0
Mon 21 March,Waikato Bay of Plenty Magic,53,41,Melbourne Vixens,"Mystery Creek Events Centre, Hamilton",2011.0
Mon 21 March,Adelaide Thunderbirds,57,55,Northern Mystics,ETSA Park,2011.0
Sat 26 March,Northern Mystics,52,61,Queensland Firebirds,Trusts Stadium,2011.0
Sun 27 March,Melbourne Vixens,65,50,Canterbury Tactix,Hisense Arena,2011.0
Sun 27 March,Central Pulse,43,48,New South Wales Swifts,TSB Bank Arena,2011.0
Mon 28 March,Southern Steel,52,48,Adelaide Thunderbirds,Invercargill ILT Velodrome,2011.0
Mon 28 March,West Coast Fever,41,42,Waikato Bay of Plenty Magic,Challenge Stadium,2011.0
Thu 31 March,Canterbury Tactix,49,44,Southern Steel,CBS Canterbury Arena,2011.0
Thu 31 March,Melbourne Vixens,42,52,Queensland Firebirds,State Netball and Hockey Centre,2011.0
Sat 2 April,Northern Mystics,61,48,Central Pulse,Trusts Stadium,2011.0
Sun 3 April,Melbourne Vixens,42,33,Southern Steel,Hisense Arena,2011.0
Sun 3 April,Canterbury Tactix,56,59,Adelaide Thunderbirds,CBS Canterbury Arena,2011.0
Mon 4 April,Central Pulse,63,61,West Coast Fever,Te Rauparaha Arena,2011.0
Mon 4 April,Queensland Firebirds,53,49,Waikato Bay of Plenty Magic,Brisbane Convention and Exhibition Centre,2011.0
Thu 7 April,Canterbury Tactix,45,58,Northern Mystics (Note 5),Vector Arena,2011.0
Sat 9 April,Southern Steel,49,40,Canterbury Tactix,Edgar Centre,2011.0
Sun 10 April,Melbourne Vixens,55,53,Adelaide Thunderbirds,Hisense Arena,2011.0
Sun 10 April,Central Pulse,44,61,Queensland Firebirds,Te Rauparaha Arena,2011.0
Mon 11 April,Waikato Bay of Plenty Magic,46,53,New South Wales Swifts,Queen Elizabeth Youth Centre,2011.0
Mon 11 April,West Coast Fever,54,56,Northern Mystics,Challenge Stadium,2011.0
Thu 14 April,Waikato Bay of Plenty Magic,53,49,Canterbury Tactix,Energy Events Centre,2011.0
Thu 14 April,Queensland Firebirds,57,36,Melbourne Vixens,Brisbane Convention and Exhibition Centre,2011.0
Sat 16 April,Adelaide Thunderbirds,57,53,New South Wales Swifts,ETSA Park,2011.0
Sun 17 April,West Coast Fever,38,54,Melbourne Vixens,Challenge Stadium,2011.0
Sun 17 April,Southern Steel,33,38,Waikato Bay of Plenty Magic,Invercargill ILT Velodrome,2011.0
Mon 18 April,Canterbury Tactix,45,47,Central Pulse,CBS Canterbury Arena,2011.0
Mon 18 April,New South Wales Swifts,53,46,Northern Mystics,Sydney Olympic Park Sports Centre,2011.0
Thu 21 April,Southern Steel,39,40,New South Wales Swifts,Edgar Centre,2011.0
Sat 23 April,Melbourne Vixens,58,42,Central Pulse,Hisense Arena,2011.0
Sun 24 April,Adelaide Thunderbirds,36,55,Waikato Bay of Plenty Magic,ETSA Park,2011.0
Sun 24 April,Northern Mystics,62,43,Canterbury Tactix,Trusts Stadium,2011.0
Mon 25 April,Queensland Firebirds,56,54,West Coast Fever,Brisbane Convention and Exhibition Centre,2011.0
Sat 30 April,Canterbury Tactix,52,69,Queensland Firebirds,CBS Canterbury Arena,2011.0
Sun 1 May,Melbourne Vixens,33,45,New South Wales Swifts,Hisense Arena,2011.0
Sun 1 May,Southern Steel,35,47,Northern Mystics,Invercargill ILT Velodrome,2011.0
Mon 2 May,Waikato Bay of Plenty Magic,60,50,Central Pulse,Taupo Events Centre,2011.0
Mon 2 May,Adelaide Thunderbirds,59,64,West Coast Fever,ETSA Park,2011.0
Saturday 31 March,Adelaide Thunderbirds,57,40,New South Wales Swifts,Netball SA Stadium,2012.0
Sunday 1 April,Queensland Firebirds,42,47,Melbourne Vixens,Brisbane Convention and Exhibition Centre,2012.0
Sunday 1 April,Northern Mystics,51,47,Central Pulse,Trusts Stadium,2012.0
Monday 2 April,Southern Steel,49,47,Waikato Bay of Plenty Magic,Stadium Southland,2012.0
Monday 2 April,West Coast Fever,55,35,Canterbury Tactix,Challenge Stadium,2012.0
Saturday 7 April,Central Pulse,47,42,Southern Steel,Pettigrew Green Arena,2012.0
Sunday 8 April,Queensland Firebirds,44,54,Adelaide Thunderbirds,Brisbane Convention and Exhibition Centre,2012.0
Sunday 8 April,West Coast Fever,41,50,Melbourne Vixens,Challenge Stadium,2012.0
Sunday 8 April,Waikato Bay of Plenty Magic,41,47,Northern Mystics,Claudelands Arena,2012.0
Monday 9 April,Canterbury Tactix,54,51,New South Wales Swifts,CBS Canterbury Arena,2012.0
Sunday 15 April,Queensland Firebirds,58,32,Central Pulse,Brisbane Convention and Exhibition Centre,2012.0
Sunday 15 April,Adelaide Thunderbirds,34,48,Melbourne Vixens,Netball SA Stadium,2012.0
Sunday 15 April,Canterbury Tactix,53,55,Southern Steel,CBS Canterbury Arena,2012.0
Monday 16 April,Northern Mystics,52,45,West Coast Fever,Trusts Stadium,2012.0
Monday 16 April,New South Wales Swifts,49,47,Waikato Bay of Plenty Magic,Sydney Olympic Park Sports Centre,2012.0
Saturday 21 April,Southern Steel,53,56,West Coast Fever,Lion Foundation Arena,2012.0
Sunday 22 April,Melbourne Vixens,40,39,Waikato Bay of Plenty Magic,Hisense Arena,2012.0
Sunday 22 April,New South Wales Swifts,54,49,Queensland Firebirds,Sydney Olympic Park Sports Centre,2012.0
Sunday 22 April,Northern Mystics,48,50,Adelaide Thunderbirds,Trusts Stadium,2012.0
Monday 23 April,Central Pulse,50,45,Canterbury Tactix,Te Rauparaha Arena,2012.0
Sunday 29 April,West Coast Fever,36,48,Adelaide Thunderbirds,Challenge Stadium,2012.0
Sunday 29 April,Melbourne Vixens,52,51,Queensland Firebirds,Hisense Arena,2012.0
Sunday 29 April,Central Pulse,47,51,Northern Mystics,Arena Manawatu,2012.0
Monday 30 April,Waikato Bay of Plenty Magic,61,52,Canterbury Tactix,Energy Events Centre,2012.0
Sunday 24 March,Queensland Firebirds,68,59,Southern Steel,Brisbane Convention and Exhibition Centre,2013.0
